,predict,relation
16602,PersonX increases their productivity by reducing distractions.,xReact
16603,PersonX never uses a smartwatch.,xAttr
16604,PersonY is now smarter.,xAttr
16605,PersonX gets called out on strikes.,xEffect
16606,PersonY feels betrayed.,oReact
16607,PersonX expresses PersonY's confidence in public speaking.,xAttr
16608,"PersonX assesses the patient and learns they are okay, so they want to get home.",oEffect
16609,PersonX loves exploring new places.,xAttr
16610,rules,xWant
16611,PersonX buys a map.,xAttr
16612,PersonX's entry is applauded and cheered.,xEffect
16613,PersonY happily agrees to go on a date.,oReact
16614,PersonX places PersonX's crown on the throne.,xNeed
16615,PersonX goes for a run.,xAttr
16616,PersonX chases PersonY away to get rid of this person.,xIntent
16617,PersonX makes it home safely.,xWant
16618,PersonY thanks PersonX.,oReact
16619,PersonX pays for his services.,xAttr
16620,PersonX wears mismatched socks.,xAttr
16621,PersonX enjoys the show and wants to know the story.,xEffect
16622,PersonX introduces a new project to the class.,xWant
16623,PersonX wins the game against PersonY.,xEffect
16624,PersonY flees and hides.,oEffect
16625,PersonX wins a gold medal.,xEffect
16626,PersonX takes life seriously == accomplishes their goals.,xReact
16627,PersonX starts exercising regularly.,xReact
16628,PersonX fixes the leaky faucet.,xReact
16629,PersonX leans toward PersonY == to get a kiss.,xWant
16630,PersonY feels appreciated.,xReact
16631,PersonX agrees to help with the project.,xNeed
16632,PersonX suggests a new restaurant to PersonY.,xIntent
16633,PersonX eats well to feel good and to rest well.,xWant
16634,PersonX helps PersonY study for an exam.,xIntent
16635,PersonX wants to rest.,xEffect
16636,PersonX asks to borrow PersonY's truck.,xReact
16637,PersonX asks PersonY about the origin of their name.,xReact
16638,self-esteem,xEffect
16639,PersonX buys meat to form patties.,xNeed
16640,PersonX accidentally spills coffee on their new shirt.,xNeed
16641,PersonX always left a trail of clutter.,xAttr
16642,PersonX shows PersonY's cards = curious,xReact
16643,PersonX wakes up sad.,xEffect
16644,PersonY shows them how to solve the math problem.,xWant
16645,PersonX goes for a run.,xAttr
16646,PersonX receives an award in the literature.,xReact
16647,PersonX continues swimming.,xReact
16648,PersonY cry.,oWant
16649,PersonX wants to get married == PersonX finds the love of their life.,xNeed
16650,PersonX wears a stunning new outfit.,xEffect
16651,PersonX opens the floodgates to release the water.,xWant
16652,PersonX takes advantage of their position.,xWant
16653,PersonX wakes up early in the morning.,xAttr
16654,PersonX obtains a scholarship by means of hard work.,xAttr
16655,PersonX reveals a secret.,xEffect
16656,PersonX finds the perfect outfit.,xAttr
16657,PersonX wins the championship.,xAttr
16658,PersonX feels empowered.,xAttr
16659,PersonX shows what PersonX is made of by standing up to the bullies.,xWant
16660,PersonX tells PersonY the time == PersonY checks their schedule.,xNeed
16661,"PersonX checks teeth in the mirror. 
EventB: Cleans his teeth.",oWant
16662,PersonY feels grateful and excited.,xAttr
16663,PersonX receives a job offer.,xIntent
16664,PersonY gives PersonX the money.,xAttr
16665,PersonX lays down on the couch.,xWant
16666,PersonX and PersonY have a deep conversation.,xReact
16667,PersonX dedicates PersonY's time to the service.,xAttr
16668,"PersonX calls PersonY by PersonZ's name.
EventB: PersonX calls PersonY by PersonZ's name.",oWant
16669,PersonX follows PersonY around.  == To be her best friend.,xWant
16670,PersonY is able to stay on schedule and becomes dependent on PersonX.,oEffect
16671,PersonX buys a new car.,xNeed
16672,PersonX cannot escape from the situation.,xAttr
16673,Writes a best-selling novel.,xNeed
16674,PersonX buys the game == to go home.,xWant
16675,PersonX grabs PersonY's head.,xNeed
16676,PersonX takes lots of photos on the trip.,xAttr
16677,PersonX gives PersonY a discount.,xWant
16678,PersonY is surprised by what they see.,oEffect
16679,PersonX takes checks to the bank == to cash them.,xIntent
16680,PersonY turns around and faces PersonX.,xIntent
16681,PersonX is holding onto a bunch of balloons.,xEffect
16682,The personX prevents the car from starting.,oWant
16683,PersonX quickly composes themselves.,xIntent
16684,PersonX gets lost in the giant house.,xReact
16685,PersonX receives a promotion.,xWant
16686,PersonX carries a pet dog home.,xNeed
16687,PersonX punches a wall.,xReact
16688,PersonX laughs at the joke.,xReact
16689,PersonX solves a difficult math problem.,xNeed
16690,PersonX loses the contest == to not practice enough,xNeed
16691,PersonX drives away in their car.,xEffect
16692,PersonX begins to make positive changes in their behavior.,xReact
16693,Eat the meal.,xWant
16694,PersonX wins the championship.,xReact
16695,the girl smiles the person.,xNeed
16696,PersonY's husband is delighted by the surprise.,xReact
16697,PersonX walks away in anger.,xIntent
16698,PersonX maintains the trust at a steady level.,xAttr
16699,PersonX proposes to PersonY.,xAttr
16700,PersonY becomes grateful toward PersonX.,oEffect
16701,PersonX starts a new project.,xEffect
16702,PersonX gives a presentation,xIntent
16703,PersonX tells all their friends about the new TV they bought.,xAttr
16704,PersonX prevents the thief from reaching the safe.,xReact
16705,PersonX saves a drowning swimmer == Jumps into the water.,xEffect
16706,PersonX makes a good argument.,xWant
16707,PersonX fulfills one's needs.,xAttr
16708,PersonX learns how to swim.,xEffect
16709,PersonY uses the proof to win the court case.,xNeed
16710,"PersonX presses PersonY's lips together == ""to kiss PersonY"".",xWant
16711,PersonX returns from a long trip.,xWant
16712,PersonX sees a movie soon.,xIntent
16713,PersonX takes a nap.,oReact
16714,PersonY is laughing.,xEffect
16715,PersonX vacuums PersonY's room.,xNeed
16716,PersonX practices diligently with their team.,xAttr
16717,PersonX returns PersonY's phone with an apology.,xAttr
16718,PersonX uses data analysis to make informed business decisions.,xIntent
16719,PersonX wears a costume that looks like a superhero.,xAttr
16720,PersonX feels relaxed and happy.,xAttr
16721,PersonX takes PersonY to the game.,oReact
16722,PersonX leads the team back.,xAttr
16723,PersonX and PersonY have an intimate night together.,xNeed
16724,PersonX left PersonY's father's funeral.,xWant
16725,PersonX opens the door for PersonY.,xNeed
16726,PersonX adopts the cat.,xNeed
16727,PersonX practices every day.,xNeed
16728,PersonX doesn't realize they need a shower.,oReact
16729,PersonX's wife apologizes to PersonX.,xIntent
16730,PersonX wears an elegant suit.,xAttr
16731,PersonX plays sports.,xAttr
16732,PersonY feels relieved.,xReact
16733,PersonX goes to a fast-food restaurant.,xEffect
16734,PersonY thanks PersonX.,xWant
16735,"PersonX whispers into PersonY's ear == ""to hear PersonY's secret"", to learn PersonY's secret.",xWant
16736,PersonY appreciates PersonX's help.,xAttr
16737,PersonX takes a bird cage inside.,xWant
16738,PersonX reaches their destination.,xReact
16739,PersonX catches a large fish.,xReact
16740,PersonX arrives home and relaxes.,xWant
16741,PersonX asks PersonY for help.,xReact
16742,PersonX fixes the roof of the house.,xReact
16743,PersonX finishes writing the paper.,xReact
16744,PersonX really paying attention == PersonX is actively listening.,oWant
16745,PersonX is unhappy with the product.,xWant
16746,PersonX tries and makes a sandwich.,xNeed
16747,PersonX finds a valuable diamond.,xWant
16748,PersonX congratulates PersonY.,xWant
16749,rides the roller coasters,oEffect
16750,PersonX builds a lockpick.,xAttr
16751,PersonX drives PersonY to work.,oEffect
16752,PersonX raises money for charity.,xAttr
16753,PersonY takes PersonX's advice.,oEffect
16754,PersonX suggests an outfit.,oWant
16755,PersonX and PersonY discuss the directions to the mall.,xWant
16756,PersonX sees their crush flirting with someone else.,xAttr
16757,PersonX takes PersonY's phone away == PersonX hides the phone.,xNeed
16758,PersonX buys some wood to build a bookshelf.,xNeed
16759,PersonX celebrates their achievement.,xWant
16760,PersonX plays with the puppy.,xEffect
16761,PersonX leaves a note in the kitchen.,xNeed
16762,PersonX and PersonY go to a movie together.,xReact
16763,PersonX receives a certificate.,xReact
16764,PersonX receives the information they were looking for.,xReact
16765,PersonX goes out for dinner.,oWant
16766,PersonY says hello to everyone.,oWant
16767,PersonX watches a movie with freshly made popcorn.,xWant
16768,PersonY is stressed out.,xIntent
16769,"PersonX sells PersonX's art collection at a price == get money for it, make documentary",xEffect
16770,PersonX gets an apartment == personX is excited and happy.,xIntent
16771,PersonX takes an apple earlier.,xNeed
16772,PersonX wakes up refreshed.,xReact
16773,PersonX wants a snack == eats a piece of fruit,xEffect
16774,PersonX wins a golf tournament.,xWant
16775,The person choking is saved.,xReact
16776,PersonX reaches the summit.,xReact
16777,PersonY feels stressed.,oReact
16778,PersonX gets hurt and loses trust in others.,oEffect
16779,PersonX loses their wallet in an accident.,xWant
16780,PersonX takes a private jet to Australia.,xAttr
16781,PersonX explains the concept in terms of biology.,xEffect
16782,PersonX shares their personal experiences with you in the churches.,oReact
16783,PersonX cleans PersonX's cage to have a clean cage for his rabbit.,xIntent
16784,PersonX reaches the final boss.,xReact
16785,PersonX finds a duplicate of PersonY's watch.,xNeed
16786,Indigenous cultures seek guidance from the elders.,xNeed
16787,PersonX makes sure to always follow the maintenance schedule for their car.,xAttr
16788,PersonX finds out PersonY's annual income.,xNeed
16789,PersonX carries PersonY far == PersonX helps PersonY get medical attention.,xWant
16790,PersonX makes money == PersonX buys a new car.,xNeed
16791,PersonX wants to have a meaningful conversation with PersonY.,xReact
16792,PersonX justifies the decision to go on vacation.,xReact
16793,PersonX starts a new project.,xNeed
16794,PersonY notices PersonX.,xEffect
16795,PersonX takes PersonY share == PersonX apologizes and offers to make it right.,xEffect
16796,PersonX holds PersonX's meetings == finishes early and goes for a walk,xEffect
16797,PersonX visits the doctor to discuss fertility options.,xEffect
16798,PersonX calls out the person's unacceptable behavior.,xReact
16799,PersonX puts out a new product.,xEffect
16800,PersonX quickly ate breakfast.,xIntent
16801,PersonX receives compliments on their name.,xReact
16802,PersonX finds out if they know.,xWant
16803,PersonY writes a draft.,xWant
16804,PersonX is counting down the days until the reunion.,xAttr
16805,PersonX undresses PersonY.,xWant
16806,"PersonY says ""yes!""",oReact
16807,PersonX joins PersonY's friends and starts playing video games together.,oEffect
16808,PersonX goes back to get an umbrella.,xIntent
16809,PersonX receives a standing ovation.,xReact
16810,PersonX brings gifts for their relatives.,oWant
16811,PersonX exhausts every muscle in his body.,xEffect
16812,PersonX stays near PersonY to go help others.,xWant
16813,PersonX's kids are looking for their favorite toys.,xIntent
16814,to stay calm under pressure.,xNeed
16815,PersonX is running away from a threat.,xReact
16816,PersonX arrives at the meeting before it starts.,xReact
16817,I notice missed patches in the lawn.,oWant
16818,PersonX finds their lost keys.,xIntent
16819,PersonX goes back to home and goes to bed.,xWant
16820,PersonX puts a dollar under PersonY's pillow.,oEffect
16821,PersonX makes scrambled eggs with cheese.,xNeed
16822,PersonX gets a new book as a gift.,oReact
16823,PersonX accidentally touches PersonY's hand.,xNeed
16824,PersonX pulls a chair out from under PersonY.,xAttr
16825,PersonX takes a shower earlier.,xWant
16826,PersonY opens his eyes abruptly.,xWant
16827,PersonX undertakes another task == exhausted at more responsibility,xReact
16828,PersonX takes PersonX's husband to surprise him with a movie.,xIntent
16829,PersonX wins the argument.,xIntent
16830,PersonX gives PersonY a prescription == PersonY is expectant for it to work,xReact
16831,PersonX does something nice for PersonY.,xIntent
16832,PersonX recovers.,xEffect
16833,PersonX rides PersonY's bike because he is appreciative of Y.,xReact
16834,To ask for forgiveness.,oWant
16835,They enjoy swimming in the ocean.,xIntent
16836,PersonX drives slowly in traffic.,xReact
16837,PersonX stops every intersection to be sure.,xIntent
16838,PersonX goes to the grocery store.,xNeed
16839,PersonX finally arrived at the party.,xIntent
16840,PersonX always left the keys at work.,xEffect
16841,PersonX puts his shoes in the closet.,xIntent
16842,PersonX has a hidden agenda.,xNeed
16843,PersonX surprises PersonY's husband with a birthday gift.,xAttr
16844,Students take notes and raise their hands.,oWant
16845,PersonX thanks their family for helping with chores.,oReact
16846,PersonZ is relieved.,oReact
16847,PersonX is voted to the All-Star team.,xEffect
16848,PersonX surprises ___ with a trip == excitedly starts planning their itinerary,xWant
16849,PersonX goes to the same cafe as their friend.,xAttr
16850,PersonY is grateful.,oReact
16851,"PersonX arrives to work, apologizes for being late.",xEffect
